rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
4,11,0.5529,11.4,0.2822,-0.0966,14.3,0.3043,0.3888,0.2342
4,12,0.6003,13.4,0.1467,-0.2042,16.0,0.3365,0.4255,0.23
4,13,0.6466,13.9,0.1232,-0.2205,16.7,0.3516,0.4401,0.2281
4,14,0.6926,19.2,0.0352,-0.2766,17.7,0.3701,0.4456,0.2258
4,15,0.738,16.6,0.0433,-0.2175,10.0,0.5588,0.3287,0.2246
4,16,0.7848,12.0,0.1381,-0.1165,4.9,0.7027,0.1106,0.218
4,17,0.8306,4.5,0.2653,0.184,30.1,0.731,-0.3738,0.2144
4,18,0.8776,0.3,0.3271,0.4798,51.8,0.7218,-0.7388,0.2096
4,19,0.9227,0.0,0.3206,0.5766,54.0,0.6991,-0.8247,0.2065
4,20,0.97,0.4,0.3142,0.5764,53.4,0.6884,-0.8391,0.2056
4,21,1.016,0.6,0.3135,0.6556,45.3,0.6769,-0.6948,0.2023
4,22,1.0623,2.5,0.2654,0.9661,33.0,0.5359,-0.515,0.2031
4,23,1.1097,1.5,0.2511,0.9564,27.2,0.2953,-0.0357,0.2092
4,24,1.1568,2.7,0.2409,0.7241,27.8,0.2118,0.145,0.218
4,25,1.2033,3.2,0.2392,0.6261,26.1,0.1995,0.2387,0.2224
4,26,1.2481,3.1,0.2323,0.5733,25.8,0.19,0.2334,0.2257
4,27,1.2947,2.1,0.2266,0.5566,25.5,0.1994,0.2918,0.2281
4,28,1.3381,0.7,0.241,0.5121,25.9,0.2117,0.3471,0.2302
4,29,1.3849,0.1,0.2582,0.4138,26.9,0.226,0.3964,0.2322
4,30,1.4323,0.0,0.2709,0.3071,26.9,0.263,0.4814,0.233
4,31,1.4776,1.2,0.2763,0.2337,24.8,0.2781,0.4951,0.2333
4,32,1.5248,3.2,0.262,0.2053,22.9,0.2775,0.4709,0.2358
4,33,1.572,4.7,0.2488,0.1877,21.9,0.2855,0.456,0.236
4,34,1.6168,5.5,0.2419,0.186,21.4,0.2906,0.4501,0.2359
5,0,0.0471,7.9,0.2821,0.264,17.8,0.232,0.4047,0.229
5,1,0.0925,7.6,0.2842,0.272,17.7,0.2336,0.3991,0.229
5,2,0.1387,7.5,0.286,0.2861,17.6,0.2358,0.3977,0.229
5,3,0.1852,7.3,0.2876,0.2877,17.5,0.2381,0.395,0.229
5,4,0.2316,7.1,0.2894,0.288,17.6,0.2404,0.3976,0.2288
5,5,0.2785,7.2,0.2903,0.2842,17.6,0.2421,0.4011,0.2289
5,6,0.3232,7.3,0.2907,0.2847,17.7,0.2436,0.4025,0.2291
5,7,0.3695,7.4,0.2909,0.2858,17.7,0.2453,0.404,0.2295
5,8,0.4177,7.4,0.291,0.2866,17.8,0.2464,0.405,0.2298
5,9,0.4628,7.5,0.2938,0.2892,17.8,0.2476,0.4068,0.2302
5,10,0.5099,7.9,0.3212,0.3184,17.5,0.2501,0.4092,0.2304
5,11,0.556,5.1,0.3908,0.3695,15.6,0.2534,0.4071,0.2316
5,12,0.6019,34.8,0.7274,-0.0624,14.9,0.2641,0.403,0.2334
5,13,0.6503,44.7,0.7361,-0.5267,15.7,0.2726,0.4344,0.2328
5,14,0.697,41.5,0.7388,-0.5518,15.9,0.2778,0.4411,0.2323
5,15,0.744,28.7,0.7203,-0.5193,15.1,0.3128,0.472,0.2276
5,16,0.7895,27.1,0.6987,-0.5137,14.9,0.3361,0.4915,0.2247
5,17,0.8374,14.2,0.6757,-0.3569,10.6,0.4485,0.4448,0.2219
5,18,0.8826,4.4,0.7109,-0.165,7.0,0.5703,0.2522,0.2172
5,19,0.929,9.3,0.6579,0.1051,0.5,0.5847,-0.0121,0.2132
5,20,0.976,13.7,0.4426,0.4627,19.9,0.3539,-0.6956,0.2012
5,21,1.0238,13.0,0.3518,0.5123,5.9,0.3236,-0.4975,0.2039
5,22,1.071,11.9,0.3307,0.5124,3.9,0.3174,-0.4851,0.2044
5,23,1.1135,10.2,0.3078,0.5026,3.7,0.3368,-0.26,0.2078
5,24,1.1621,8.6,0.3058,0.4714,6.6,0.3354,-0.2011,0.2123
5,25,1.2078,7.1,0.303,0.3886,10.0,0.3305,-0.0156,0.2162
5,26,1.2543,5.9,0.2884,0.3384,13.5,0.3305,0.2367,0.2205
5,27,1.3009,5.3,0.2689,0.3045,17.7,0.2958,0.4614,0.2249
5,28,1.3481,4.7,0.27,0.2905,18.2,0.2844,0.4849,0.2257
5,29,1.3947,4.9,0.2628,0.2793,17.2,0.2792,0.4491,0.2271
5,30,1.4403,5.1,0.262,0.2721,16.7,0.2777,0.4337,0.2277
5,31,1.4873,4.9,0.2638,0.2527,15.9,0.2742,0.4107,0.2279
5,32,1.5342,4.9,0.2653,0.2418,15.1,0.2714,0.3901,0.2279
5,33,1.5795,5.2,0.2672,0.2341,14.9,0.2707,0.3837,0.2283
5,34,1.6257,5.4,0.268,0.2295,14.8,0.2709,0.3772,0.2286
6,0,0.0464,7.6,0.3346,0.3103,17.7,0.1972,0.4067,0.235
6,1,0.0926,7.1,0.3271,0.2954,17.7,0.2047,0.4107,0.2347
6,2,0.1391,6.9,0.3285,0.2947,18.0,0.2172,0.4185,0.2321
6,3,0.1853,5.5,0.3182,0.2938,19.2,0.1896,0.4226,0.2321
